word,CH1_frequency,CH1_rank,CH2_frequency,CH2_rank,CH3_frequency,CH3_rank,CH4_frequency,CH4_rank,CH5_frequency,CH5_rank,CH6_frequency,CH6_rank,CH7_frequency,CH7_rank,CH8_frequency,CH8_rank,CH9_frequency,CH9_rank,CH10_frequency,CH10_rank,CH11_frequency,CH11_rank,CH12_frequency,CH12_rank,CH13_frequency,CH13_rank,CH14_frequency,CH14_rank,CH15_frequency,CH15_rank,CH16_frequency,CH16_rank,CH17_frequency,CH17_rank,CH18_frequency,CH18_rank,CH19_frequency,CH19_rank,CH20_frequency,CH20_rank,CH21_frequency,CH21_rank,CH22_frequency,CH22_rank,CH23_frequency,CH23_rank,CH24_frequency,CH24_rank,CH25_frequency,CH25_rank,CH26_frequency,CH26_rank,CH27_frequency,CH27_rank,CH28_frequency,CH28_rank,CH29_frequency,CH29_rank,CH30_frequency,CH30_rank,CH31_frequency,CH31_rank,CH32_frequency,CH32_rank,CH33_frequency,CH33_rank,CH34_frequency,CH34_rank,CH35_frequency,CH35_rank,CH36_frequency,CH36_rank,CH37_frequency,CH37_rank,CH38_frequency,CH38_rank,CH39_frequency,CH39_rank,CH40_frequency,CH40_rank,CH41_frequency,CH41_rank,CH42_frequency,CH42_rank,CH43_frequency,CH43_rank,CH44_frequency,CH44_rank,CH45_frequency,CH45_rank,CH46_frequency,CH46_rank,CH47_frequency,CH47_rank,CH48_frequency,CH48_rank,CH49_frequency,CH49_rank,CH50_frequency,CH50_rank,Total_frequency,Total_rank
possible,1.0,194.0,2.0,157.0,2.0,109.0,3.0,61.0,1.0,155.0,5.0,26.0,2.0,117.0,1.0,366.0,4.0,28.0,2.0,123.0,,,1.0,534.0,6.0,39.0,1.0,418.0,1.0,97.0,2.0,188.0,3.0,77.0,1.0,252.0,2.0,100.0,1.0,260.0,6.0,30.0,2.0,202.0,1.0,293.0,1.0,560.0,4.0,64.0,3.0,103.0,1.0,159.0,1.0,397.0,2.0,90.0,1.0,327.0,,,,,,,,,2.0,92.0,1.0,441.0,1.0,528.0,2.0,143.0,6.0,36.0,2.0,120.0,4.0,80.0,2.0,107.0,2.0,266.0,3.0,164.0,1.0,419.0,1.0,791.0,1.0,872.0,,,3.0,126.0,3.0,54.0,100.0,77.0
late,1.0,195.0,,,1.0,202.0,,,,,,,,,,,1.0,293.0,,,8.0,6.0,,,1.0,368.0,1.0,275.0,,,,,3.0,81.0,,,,,,,,,,,,,1.0,314.0,,,,,1.0,353.0,2.0,98.0,,,,,1.0,438.0,,,,,,,2.0,78.0,,,,,,,,,,,,,,,,,1.0,1164.0,,,,,2.0,184.0,1.0,272.0,2.0,224.0,1.0,237.0,30.0,400.0
apologize,1.0,196.0,,,2.0,158.0,,,,,,,17.0,3.0,,,3.0,55.0,,,3.0,35.0,,,,,1.0,276.0,,,,,2.0,147.0,,,,,,,1.0,342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,346.0,,,,,,,,,,,1.0,565.0,,,,,1.0,366.0,1.0,535.0,,,34.0,346.0
dwell,1.0,197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,386.0,,,,,,,,,1.0,511.0,,,,,,,,,4.0,2207.0
deal,1.0,198.0,,,,,2.0,101.0,,,,,1.0,644.0,1.0,628.0,1.0,221.0,1.0,563.0,,,,,1.0,883.0,2.0,119.0,1.0,100.0,1.0,497.0,,,,,,,,,1.0,290.0,,,,,,,1.0,591.0,,,,,,,2.0,89.0,1.0,378.0,1.0,743.0,,,,,1.0,233.0,,,,,1.0,568.0,1.0,502.0,,,,,1.0,861.0,1.0,477.0,1.0,403.0,2.0,264.0,1.0,365.0,1.0,353.0,1.0,581.0,,,1.0,693.0,,,31.0,380.0
noted,1.0,199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2208.0
usage,1.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,335.0,,,,,,,1.0,314.0,,,,,,,,,,,,,,,,,,,,,1.0,397.0,,,,,,,,,,,1.0,300.0,,,,,,,1.0,449.0,,,,,1.0,659.0,,,,,,,,,,,,,13.0,924.0
expert,1.0,201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,639.0,,,,,,,,,,,,,,,,,1.0,474.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2615.0
says,1.0,202.0,3.0,47.0,,,,,1.0,271.0,,,1.0,286.0,,,,,,,,,1.0,257.0,,,,,,,1.0,342.0,,,,,1.0,302.0,,,,,2.0,150.0,,,1.0,232.0,1.0,387.0,3.0,109.0,,,,,,,,,1.0,388.0,,,,,1.0,137.0,,,,,,,,,1.0,392.0,,,,,,,1.0,573.0,,,,,4.0,84.0,,,,,,,,,31.0,383.0
inquiry,1.0,203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,249.0,,,,,,,,,1.0,617.0,,,,,,,,,,,,,,,,,2.0,137.0,,,1.0,358.0,2.0,150.0,6.0,16.0,,,,,,,,,,,,,,,,,14.0,866.0
idea,1.0,204.0,1.0,315.0,,,4.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,537.0,,,,,1.0,502.0,,,2.0,174.0,1.0,158.0,2.0,130.0,,,2.0,169.0,,,2.0,150.0,,,,,,,1.0,327.0,,,,,,,,,6.0,13.0,,,2.0,245.0,1.0,188.0,1.0,340.0,,,,,2.0,255.0,,,1.0,699.0,1.0,745.0,,,,,,,36.0,322.0
make,1.0,205.0,2.0,100.0,5.0,22.0,4.0,32.0,,,4.0,41.0,4.0,28.0,3.0,73.0,4.0,33.0,2.0,103.0,,,8.0,24.0,2.0,217.0,2.0,104.0,1.0,129.0,2.0,154.0,1.0,371.0,5.0,16.0,1.0,251.0,1.0,145.0,4.0,58.0,6.0,35.0,2.0,98.0,4.0,54.0,10.0,10.0,7.0,31.0,1.0,368.0,6.0,31.0,1.0,547.0,3.0,71.0,3.0,131.0,2.0,96.0,,,1.0,309.0,1.0,146.0,,,,,1.0,248.0,8.0,22.0,1.0,423.0,9.0,19.0,2.0,120.0,3.0,118.0,11.0,14.0,8.0,19.0,7.0,34.0,4.0,47.0,,,3.0,124.0,3.0,66.0,169.0,25.0
enthusiastic,1.0,206.0,1.0,465.0,,,,,,,,,,,,,,,1.0,469.0,,,,,,,,,,,1.0,302.0,,,,,,,,,1.0,589.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,410.0,,,,,,,1.0,410.0,1.0,829.0,,,,,,,2.0,150.0,,,,,,,10.0,1143.0
proper,1.0,207.0,1.0,230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,431.0,,,,,,,,,,,,,,,,,,,,,3.0,2616.0
stock,1.0,208.0,1.0,488.0,,,,,,,1.0,548.0,1.0,433.0,,,,,,,2.0,93.0,,,,,,,,,,,,,,,,,,,,,,,1.0,421.0,,,,,,,,,1.0,607.0,1.0,368.0,,,,,,,4.0,18.0,,,1.0,209.0,,,,,,,,,,,,,1.0,456.0,1.0,885.0,,,,,,,,,,,,,,,16.0,763.0
hosts,1.0,209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,376.0,,,,,,,,,1.0,310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2617.0
employers,1.0,210.0,,,,,,,,,,,,,3.0,72.0,,,1.0,195.0,,,,,,,,,,,,,,,,,,,,,2.0,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,114.0,,,,,1.0,307.0,,,4.0,59.0,,,,,,,,,1.0,134.0,,,,,15.0,817.0
friends,1.0,211.0,,,,,3.0,43.0,5.0,29.0,9.0,11.0,1.0,716.0,,,,,1.0,180.0,1.0,115.0,,,,,1.0,375.0,1.0,199.0,1.0,654.0,3.0,62.0,,,,,,,,,11.0,8.0,,,,,3.0,104.0,9.0,17.0,1.0,399.0,7.0,23.0,,,6.0,23.0,3.0,92.0,,,,,1.0,337.0,2.0,141.0,,,,,1.0,186.0,1.0,730.0,,,,,,,,,,,1.0,615.0,9.0,19.0,3.0,114.0,2.0,52.0,10.0,27.0,,,105.0,71.0
go,1.0,212.0,,,,,,,1.0,366.0,,,1.0,700.0,,,,,2.0,79.0,2.0,51.0,,,1.0,583.0,1.0,598.0,,,,,1.0,376.0,,,1.0,235.0,,,3.0,77.0,2.0,242.0,,,1.0,293.0,2.0,157.0,1.0,332.0,,,,,,,1.0,442.0,,,5.0,22.0,,,2.0,73.0,,,,,,,,,2.0,180.0,,,2.0,259.0,,,,,,,2.0,231.0,1.0,446.0,,,1.0,197.0,1.0,675.0,,,44.0,256.0
sentence,1.0,213.0,,,,,,,2.0,79.0,,,,,1.0,268.0,,,1.0,327.0,1.0,246.0,,,1.0,654.0,,,1.0,156.0,,,,,1.0,230.0,2.0,90.0,,,2.0,221.0,1.0,356.0,,,,,,,,,,,,,1.0,266.0,,,,,,,,,,,1.0,223.0,,,,,1.0,361.0,,,,,1.0,786.0,1.0,209.0,,,1.0,401.0,4.0,54.0,,,1.0,392.0,1.0,124.0,,,,,41.0,279.0
saying,1.0,214.0,,,1.0,459.0,,,,,,,1.0,321.0,,,,,1.0,161.0,1.0,163.0,1.0,261.0,,,,,,,,,,,3.0,37.0,1.0,500.0,2.0,97.0,,,,,,,1.0,413.0,,,1.0,486.0,,,1.0,389.0,,,,,,,3.0,60.0,,,1.0,210.0,1.0,451.0,,,,,3.0,55.0,7.0,24.0,,,,,1.0,443.0,,,1.0,440.0,5.0,34.0,,,1.0,316.0,,,1.0,343.0,,,40.0,290.0
cheerful,1.0,215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,80.0,,,,,,,,,,,,,,,,,1.0,601.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1895.0
issued,1.0,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,75.0,,,,,,,,,,,,,,,1.0,371.0,,,,,,,,,,,,,,,,,,,2.0,222.0,,,9.0,1246.0
more,1.0,217.0,1.0,242.0,1.0,355.0,2.0,108.0,3.0,60.0,4.0,59.0,1.0,265.0,2.0,126.0,4.0,26.0,6.0,16.0,2.0,78.0,1.0,504.0,2.0,240.0,1.0,470.0,,,3.0,89.0,1.0,370.0,4.0,24.0,3.0,71.0,1.0,363.0,2.0,233.0,3.0,92.0,,,3.0,66.0,6.0,35.0,1.0,362.0,,,4.0,45.0,3.0,68.0,,,1.0,698.0,4.0,43.0,3.0,41.0,1.0,273.0,1.0,201.0,2.0,115.0,4.0,42.0,,,6.0,31.0,3.0,31.0,5.0,45.0,3.0,58.0,4.0,81.0,8.0,25.0,2.0,119.0,4.0,85.0,6.0,32.0,2.0,42.0,5.0,75.0,3.0,65.0,148.0,36.0
mention,1.0,218.0,1.0,256.0,,,2.0,137.0,,,1.0,304.0,1.0,303.0,2.0,119.0,3.0,49.0,,,,,1.0,303.0,1.0,652.0,,,1.0,118.0,2.0,139.0,2.0,118.0,1.0,393.0,3.0,60.0,,,1.0,338.0,,,,,1.0,577.0,1.0,285.0,1.0,452.0,2.0,68.0,1.0,290.0,2.0,105.0,3.0,73.0,,,1.0,202.0,,,,,,,1.0,409.0,2.0,113.0,,,2.0,150.0,,,,,2.0,155.0,5.0,50.0,,,1.0,553.0,4.0,73.0,5.0,41.0,,,3.0,132.0,2.0,84.0,64.0,159.0
listed,1.0,219.0,,,,,,,,,,,,,,,1.0,388.0,,,,,,,,,,,1.0,223.0,1.0,595.0,,,2.0,131.0,,,,,,,,,,,,,,,,,,,1.0,408.0,,,,,,,,,2.0,89.0,,,,,1.0,123.0,1.0,365.0,,,1.0,372.0,,,,,,,1.0,419.0,,,,,,,,,,,1.0,461.0,1.0,421.0,15.0,818.0
marked,1.0,220.0,,,,,,,,,,,1.0,605.0,,,,,,,,,,,1.0,824.0,,,,,1.0,610.0,,,,,,,,,,,,,1.0,439.0,,,,,,,,,1.0,608.0,,,,,1.0,280.0,,,,,,,,,,,,,,,1.0,364.0,,,,,1.0,293.0,,,,,,,,,,,,,,,,,9.0,1247.0
mandatory,1.0,221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,185.0,,,,,,,,,,,,,,,,,,,,,,,1.0,365.0,,,,,1.0,294.0,,,,,,,,,,,,,,,,,4.0,2209.0
obligatory,1.0,222.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,170.0,,,,,,,,,,,,,1.0,520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,366.0,,,,,1.0,295.0,,,,,,,,,,,,,,,,,5.0,1896.0
required,1.0,223.0,,,,,1.0,476.0,,,1.0,677.0,,,,,,,,,,,,,,,,,1.0,289.0,1.0,684.0,1.0,543.0,,,,,,,,,,,,,,,,,,,,,1.0,522.0,,,1.0,344.0,1.0,537.0,,,,,,,,,,,,,,,1.0,367.0,,,3.0,94.0,2.0,129.0,,,,,,,,,2.0,135.0,,,,,,,17.0,726.0
compulsory,1.0,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,368.0,,,,,1.0,296.0,,,,,,,,,,,,,,,,,3.0,2618.0
imperative,1.0,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,369.0,,,,,1.0,297.0,,,,,,,1.0,282.0,,,,,1.0,459.0,,,5.0,1897.0
essential,1.0,226.0,,,,,,,,,1.0,220.0,,,,,,,,,,,,,,,,,,,,,1.0,308.0,,,,,,,,,,,,,1.0,355.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,370.0,,,,,1.0,298.0,1.0,422.0,,,,,,,1.0,406.0,,,,,,,8.0,1350.0
special,1.0,227.0,1.0,272.0,,,2.0,126.0,2.0,71.0,5.0,33.0,2.0,130.0,2.0,132.0,3.0,58.0,1.0,260.0,,,4.0,67.0,1.0,605.0,3.0,46.0,1.0,179.0,,,,,,,2.0,132.0,1.0,311.0,,,2.0,129.0,,,1.0,289.0,4.0,67.0,1.0,399.0,4.0,24.0,8.0,19.0,4.0,38.0,2.0,137.0,6.0,27.0,1.0,262.0,1.0,245.0,1.0,213.0,5.0,20.0,3.0,39.0,2.0,143.0,2.0,93.0,1.0,363.0,1.0,265.0,4.0,74.0,1.0,251.0,4.0,70.0,8.0,29.0,1.0,450.0,6.0,45.0,10.0,12.0,2.0,48.0,1.0,545.0,4.0,30.0,123.0,58.0
offered,1.0,228.0,,,1.0,356.0,,,,,,,,,1.0,353.0,,,,,1.0,401.0,,,,,1.0,309.0,,,,,,,1.0,503.0,,,,,,,,,,,2.0,152.0,1.0,363.0,,,,,,,,,1.0,274.0,,,,,,,2.0,105.0,,,,,,,1.0,541.0,2.0,241.0,,,2.0,256.0,,,,,1.0,1025.0,,,1.0,287.0,1.0,808.0,,,,,,,20.0,603.0
expresses,1.0,229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,299.0,,,,,,,,,,,3.0,2619.0
enthusiasm,1.0,230.0,,,,,,,,,1.0,273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,335.0,1.0,507.0,,,,,,,,,,,,,,,,,1.0,702.0,,,,,,,,,,,1.0,285.0,2.0,89.0,,,,,,,,,,,,,,,,,3.0,97.0,,,,,,,11.0,1072.0
confirms,1.0,231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4498.0
applicant,1.0,232.0,,,,,,,,,,,,,2.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,159.0,3.0,106.0,,,,,,,,,,,,,,,,,,,,,,,8.0,1351.0
congratulatory,1.0,233.0,,,,,,,,,1.0,323.0,,,,,,,,,,,,,,,3.0,60.0,,,,,,,,,,,,,1.0,321.0,,,,,,,,,,,1.0,238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,145.0,,,,,,,,,,,,,,,,,9.0,1248.0
remark,1.0,234.0,,,,,1.0,275.0,1.0,260.0,,,1.0,528.0,,,,,1.0,216.0,,,,,,,,,,,1.0,432.0,,,,,,,,,2.0,189.0,1.0,289.0,,,1.0,353.0,,,,,,,,,,,,,,,,,,,1.0,182.0,,,,,,,,,1.0,295.0,,,,,1.0,222.0,,,,,1.0,552.0,1.0,310.0,,,,,,,,,15.0,819.0
chosen,1.0,235.0,,,,,,,,,,,,,1.0,270.0,,,,,,,,,,,,,,,,,,,,,1.0,191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,411.0,,,,,,,,,,,,,,,,,1.0,694.0,1.0,448.0,6.0,1671.0
complimentary,1.0,236.0,,,,,,,1.0,259.0,,,,,,,,,1.0,189.0,,,,,,,,,,,1.0,364.0,,,,,,,,,2.0,165.0,,,,,,,,,,,1.0,149.0,,,,,,,,,,,2.0,54.0,,,,,,,,,,,2.0,212.0,,,1.0,793.0,1.0,277.0,,,,,1.0,551.0,1.0,309.0,2.0,182.0,,,,,,,35.0,333.0
credentials,1.0,237.0,,,,,,,,,,,,,,,,,,,1.0,403.0,,,,,,,,,1.0,391.0,,,,,,,,,1.0,580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,396.0,,,,,,,,,,,,,,,,,,,,,,,5.0,1898.0
experience,1.0,238.0,,,5.0,23.0,1.0,618.0,1.0,265.0,,,,,13.0,5.0,,,,,1.0,408.0,,,,,,,,,6.0,26.0,,,,,,,1.0,506.0,3.0,124.0,,,,,1.0,566.0,,,1.0,349.0,,,,,,,2.0,183.0,1.0,701.0,,,,,,,,,,,3.0,71.0,2.0,91.0,,,,,,,,,15.0,8.0,,,1.0,677.0,3.0,142.0,,,,,,,,,61.0,168.0
interview,1.0,239.0,,,,,,,,,,,,,11.0,10.0,4.0,24.0,,,,,,,,,,,,,6.0,22.0,,,,,,,,,4.0,57.0,1.0,602.0,,,5.0,33.0,,,,,,,,,,,,,,,1.0,426.0,,,,,,,,,,,,,2.0,205.0,,,2.0,175.0,1.0,278.0,3.0,94.0,1.0,1121.0,,,,,4.0,72.0,,,,,,,49.0,228.0
information,1.0,240.0,3.0,55.0,4.0,44.0,1.0,636.0,1.0,171.0,7.0,18.0,2.0,91.0,2.0,144.0,1.0,183.0,1.0,218.0,,,4.0,57.0,5.0,48.0,1.0,254.0,1.0,175.0,3.0,76.0,14.0,3.0,1.0,350.0,3.0,55.0,3.0,34.0,3.0,108.0,1.0,509.0,8.0,11.0,7.0,19.0,2.0,180.0,2.0,173.0,,,1.0,419.0,3.0,73.0,1.0,491.0,5.0,47.0,,,4.0,12.0,,,7.0,10.0,4.0,18.0,3.0,66.0,10.0,5.0,2.0,228.0,2.0,61.0,30.0,1.0,8.0,9.0,5.0,45.0,5.0,64.0,,,,,3.0,88.0,13.0,2.0,4.0,102.0,5.0,23.0,208.0,19.0
supervisors,1.0,241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,408.0,,,,,,,,,1.0,494.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2620.0
goodwill,1.0,242.0,,,6.0,19.0,,,3.0,48.0,1.0,397.0,,,,,,,1.0,263.0,,,2.0,114.0,,,1.0,288.0,,,,,,,,,,,,,2.0,168.0,,,,,,,,,,,9.0,4.0,7.0,21.0,1.0,206.0,2.0,148.0,,,,,,,,,1.0,253.0,,,,,,,,,,,,,,,,,2.0,205.0,1.0,316.0,,,,,1.0,127.0,,,,,43.0,265.0
employment,1.0,243.0,,,,,,,,,,,,,3.0,52.0,,,,,,,,,,,,,,,1.0,491.0,1.0,279.0,,,,,,,5.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,31.0,1.0,283.0,,,2.0,159.0,2.0,125.0,4.0,62.0,,,,,,,,,,,1.0,339.0,1.0,218.0,29.0,410.0
advantages,1.0,244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,610.0,1.0,902.0,,,,,,,,,,,1.0,376.0,4.0,2210.0
influence,1.0,245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,327.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3253.0
decision,1.0,246.0,4.0,41.0,,,4.0,33.0,,,1.0,328.0,,,,,,,,,1.0,396.0,,,,,,,,,,,1.0,494.0,1.0,494.0,,,,,5.0,40.0,,,,,1.0,318.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,308.0,1.0,359.0,3.0,91.0,,,,,1.0,530.0,,,1.0,1034.0,3.0,96.0,,,1.0,410.0,1.0,310.0,1.0,741.0,,,32.0,369.0
situations,1.0,247.0,2.0,111.0,1.0,383.0,1.0,385.0,,,,,1.0,421.0,,,1.0,203.0,,,,,,,,,,,,,,,,,1.0,266.0,,,1.0,306.0,1.0,458.0,,,,,,,,,,,,,,,,,,,1.0,565.0,,,,,,,,,1.0,200.0,1.0,337.0,,,,,,,,,,,3.0,148.0,,,1.0,261.0,,,,,,,,,,,19.0,638.0
weddings,1.0,248.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,490.0,,,6.0,50.0,,,11.0,1073.0
example,1.0,249.0,1.0,284.0,1.0,436.0,,,1.0,295.0,1.0,370.0,2.0,129.0,1.0,380.0,,,,,1.0,384.0,,,,,,,1.0,143.0,,,1.0,235.0,1.0,218.0,,,1.0,238.0,1.0,528.0,,,,,1.0,302.0,,,2.0,170.0,1.0,187.0,2.0,120.0,3.0,54.0,1.0,348.0,3.0,117.0,,,1.0,216.0,1.0,227.0,1.0,444.0,,,,,,,2.0,136.0,,,,,1.0,425.0,6.0,33.0,4.0,86.0,1.0,706.0,2.0,219.0,1.0,480.0,,,2.0,257.0,2.0,89.0,59.0,177.0
couplehow,1.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4499.0
declines,1.0,251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,439.0,,,,,,,,,,,,,1.0,637.0,,,3.0,2621.0
cases,1.0,252.0,1.0,299.0,1.0,370.0,,,,,,,1.0,246.0,,,1.0,157.0,3.0,37.0,,,,,1.0,645.0,,,,,,,1.0,233.0,,,,,1.0,203.0,1.0,418.0,,,2.0,114.0,,,,,1.0,291.0,,,,,1.0,509.0,,,1.0,390.0,,,,,1.0,223.0,,,,,1.0,317.0,1.0,318.0,1.0,270.0,1.0,250.0,,,2.0,103.0,1.0,578.0,,,,,3.0,108.0,2.0,179.0,,,,,,,32.0,370.0
parties,1.0,253.0,,,,,1.0,323.0,,,,,,,1.0,352.0,,,,,,,,,2.0,247.0,,,4.0,14.0,,,,,1.0,183.0,,,,,1.0,299.0,,,,,,,,,,,,,,,,,1.0,197.0,2.0,147.0,,,,,,,,,,,,,,,,,,,,,1.0,307.0,,,,,1.0,536.0,,,,,,,1.0,322.0,,,17.0,727.0
phone,1.0,254.0,1.0,271.0,,,,,,,1.0,367.0,1.0,230.0,1.0,278.0,1.0,155.0,,,,,,,7.0,26.0,,,,,1.0,719.0,1.0,507.0,,,2.0,102.0,3.0,35.0,2.0,192.0,1.0,670.0,3.0,52.0,2.0,173.0,1.0,580.0,4.0,78.0,,,1.0,657.0,2.0,99.0,1.0,230.0,2.0,170.0,,,1.0,314.0,,,1.0,184.0,2.0,71.0,,,3.0,47.0,1.0,382.0,,,5.0,47.0,1.0,215.0,1.0,714.0,,,,,,,1.0,471.0,1.0,113.0,,,1.0,264.0,59.0,178.0
protocol,1.0,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4500.0
car,1.0,256.0,,,,,,,,,,,1.0,681.0,,,,,,,,,,,1.0,562.0,1.0,193.0,,,,,2.0,114.0,,,1.0,756.0,,,,,2.0,148.0,,,,,,,1.0,302.0,,,,,,,,,1.0,666.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,436.0,1.0,811.0,,,3.0,26.0,,,,,16.0,764.0
wear,1.0,257.0,,,1.0,537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,640.0,,,3.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,583.0,,,,,,,,,1.0,754.0,,,8.0,1352.0
general,1.0,258.0,,,,,1.0,210.0,,,2.0,161.0,,,,,,,,,,,,,4.0,63.0,,,,,,,,,,,,,,,,,1.0,346.0,,,,,,,1.0,615.0,1.0,244.0,2.0,123.0,,,,,,,1.0,465.0,,,,,,,,,2.0,130.0,3.0,38.0,1.0,385.0,,,2.0,278.0,1.0,446.0,2.0,199.0,2.0,249.0,,,2.0,179.0,,,,,1.0,340.0,,,34.0,343.0
day,1.0,259.0,,,,,1.0,598.0,4.0,33.0,1.0,485.0,,,,,1.0,372.0,1.0,368.0,3.0,26.0,,,,,1.0,380.0,,,1.0,656.0,,,,,,,,,1.0,272.0,8.0,25.0,1.0,423.0,,,2.0,223.0,3.0,108.0,1.0,351.0,9.0,12.0,4.0,28.0,,,3.0,99.0,5.0,26.0,1.0,410.0,2.0,87.0,1.0,308.0,1.0,327.0,,,,,3.0,101.0,,,,,2.0,111.0,,,2.0,323.0,,,1.0,562.0,8.0,21.0,,,3.0,106.0,1.0,266.0,81.0,117.0
receiving,1.0,260.0,1.0,263.0,,,,,1.0,145.0,,,,,,,,,1.0,464.0,,,,,1.0,522.0,1.0,586.0,,,2.0,131.0,,,,,,,,,1.0,647.0,,,1.0,281.0,,,,,,,,,1.0,336.0,,,,,1.0,485.0,,,,,,,,,1.0,448.0,,,,,1.0,386.0,,,2.0,264.0,1.0,310.0,,,,,3.0,108.0,1.0,491.0,2.0,168.0,1.0,313.0,,,,,28.0,430.0
plain,1.0,261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,553.0,,,,,,,,,,,,,1.0,379.0,1.0,388.0,,,,,,,,,,,,,2.0,246.0,,,,,,,,,7.0,1482.0
